age,race,gender,grade90,income96,partner,height,weight,famsize,genhealth,illegalact,charged,jobsnum90,afqt89,typejob90,jobtrain90,income96gt17
20.0,ITALIAN,Female,12TH GRADE,0.0,No,502.0,118.0,5.0,Very Good,0.0,0.0,2.0,9.0,manuf,No,0
18.0,FRENCH,Male,4TH YR COL,3.5,No,504.0,200.0,4.0,Good,1.0,0.0,10.0,99.0,pro,No,1
20.0,ENGLISH,Female,12TH GRADE,2.4,Yes,505.0,155.0,3.0,Good,0.0,0.0,8.0,42.0,fin,No,1
15.0,ITALIAN,Male,2ND YR COL,5.2,No,506.0,159.0,6.0,Excellent,0.0,0.0,4.0,51.0,retail,No,1
20.0,IRISH,Male,4TH YR COL,5.2,Yes,511.0,175.0,5.0,Excellent,0.0,0.0,3.0,85.0,busi,No,1
15.0,IRISH,Female,4TH YR COL,2.9,No,507.0,145.0,5.0,Very Good,2.0,0.0,15.0,92.0,wholesale,Yes,1
20.0,ITALIAN,Female,1ST YR COL,2.5,No,503.0,135.0,4.0,Good,0.0,0.0,9.0,57.0,pro,No,1
21.0,ENGLISH,Male,1ST YR COL,8.0,No,509.0,155.0,1.0,Excellent,0.0,0.0,4.0,98.0,manuf,No,1
19.0,ITALIAN,Female,4TH YR COL,4.6,No,504.0,120.0,5.0,Very Good,1.0,0.0,10.0,63.0,manuf,No,1
17.0,ITALIAN,Female,4TH YR COL,5.55,No,502.0,138.0,5.0,Excellent,2.0,0.0,17.0,94.0,manuf,No,1
16.0,POLISH,Female,4TH YR COL,1.5,No,504.0,115.0,4.0,Very Good,1.0,0.0,19.0,84.0,pro,No,0
19.0,GERMAN,Female,2ND YR COL,1.8,No,507.0,120.0,3.0,Excellent,1.0,0.0,3.0,57.0,pro,No,1
18.0,GREEK,Female,12TH GRADE,4.1,No,507.0,125.0,4.0,Very Good,0.0,0.0,4.0,13.0,fin,No,1
20.0,ENGLISH,Male,1ST YR COL,2.4,No,510.0,200.0,4.0,Very Good,1.0,0.0,15.0,13.0,retail,No,1
20.0,GERMAN,Female,12TH GRADE,0.0,No,507.0,130.0,4.0,Very Good,0.0,0.0,3.0,59.0,manuf,No,0
16.0,GERMAN,Female,12TH GRADE,3.0,No,504.0,118.0,4.0,Excellent,0.0,0.0,7.0,13.0,pub,No,1
19.0,ITALIAN,Male,1ST YR COL,0.25,No,507.0,160.0,3.0,Excellent,0.0,0.0,8.0,38.0,pub,No,0
16.0,ITALIAN,Male,3RD YR COL,6.7,No,602.0,205.0,3.0,Very Good,5.0,0.0,12.0,54.0,busi,No,1
15.0,OTHER,Male,12TH GRADE,3.5,No,511.0,230.0,4.0,Very Good,5.0,0.0,7.0,16.0,construction,No,1
17.0,OTHER,Female,12TH GRADE,0.0,No,507.0,140.0,5.0,Fair,0.0,0.0,14.0,13.0,retail,No,0
16.0,FRENCH,Female,5TH YR COL,1.8,Yes,502.0,122.0,3.0,Excellent,0.0,0.0,5.0,63.0,pro,No,1
20.0,ENGLISH,Male,12TH GRADE,5.4,No,601.0,198.0,3.0,Excellent,2.0,1.0,7.0,77.0,manuf,Yes,1
20.0,GERMAN,Female,2ND YR COL,3.1191,No,509.0,150.0,2.0,Very Good,0.0,0.0,6.0,66.0,pro,No,1
20.0,GERMAN,Female,12TH GRADE,1.0,No,505.0,190.0,4.0,Very Good,0.0,0.0,5.0,79.0,fin,No,0
20.0,FRENCH,Female,12TH GRADE,2.2,No,507.0,118.0,2.0,Very Good,0.0,0.0,19.0,38.0,transp,No,1
22.0,ENGLISH,Female,5TH YR COL,3.68,No,502.0,130.0,5.0,Excellent,0.0,0.0,5.0,87.0,pub,No,1
14.0,GERMAN,Female,12TH GRADE,2.8,No,510.0,180.0,4.0,Very Good,2.0,0.0,14.0,31.0,pro,No,1
16.0,ENGLISH,Female,4TH YR COL,0.0,No,509.0,135.0,4.0,Excellent,0.0,0.0,11.0,99.0,busi,No,0
19.0,ENGLISH,Female,4TH YR COL,1.3,No,505.0,155.0,3.0,Excellent,0.0,0.0,11.0,84.0,fin,No,0
17.0,ENGLISH,Female,4TH YR COL,3.8,No,504.0,116.0,5.0,Excellent,0.0,0.0,16.0,68.0,enter,No,1
15.0,OTHER-SPANISH,Male,2ND YR COL,2.4,No,601.0,170.0,5.0,Excellent,3.0,0.0,10.0,31.0,retail,No,1
14.0,ENGLISH,Female,4TH YR COL,4.7,No,503.0,135.0,4.0,Very Good,0.0,0.0,7.0,84.0,fin,Yes,1
21.0,GERMAN,Female,4TH YR COL,0.0,Yes,504.0,122.0,5.0,Very Good,0.0,0.0,6.0,88.0,pro,No,0
15.0,ITALIAN,Male,5TH YR COL,1.2,No,507.0,130.0,4.0,Very Good,2.0,0.0,10.0,70.0,pro,No,0
14.0,ITALIAN,Male,2ND YR COL,1.6,No,509.0,165.0,4.0,Excellent,2.0,0.0,15.0,21.0,retail,No,0
15.0,BLACK,Male,12TH GRADE,0.8,No,508.0,170.0,7.0,Excellent,0.0,0.0,8.0,3.0,retail,No,0
21.0,BLACK,Male,4TH YR COL,2.31,Yes,600.0,156.0,2.0,Very Good,0.0,1.0,9.0,92.0,fin,Yes,1
20.0,BLACK,Female,4TH YR COL,4.1,Yes,507.0,130.0,5.0,Fair,0.0,0.0,8.0,80.0,fin,No,1
20.0,POLISH,Male,4TH YR COL,6.4,No,511.0,156.0,5.0,Very Good,0.0,0.0,7.0,89.0,fin,No,1
15.0,POLISH,Female,4TH YR COL,3.4,No,507.0,136.0,5.0,Very Good,0.0,0.0,7.0,15.0,manuf,Yes,1
16.0,ENGLISH,Female,12TH GRADE,0.4,No,411.0,140.0,4.0,Good,1.0,0.0,5.0,37.0,pro,No,0
14.0,POLISH,Male,12TH GRADE,2.2,No,509.0,154.0,4.0,Excellent,0.0,0.0,8.0,18.0,pro,No,1
18.0,ITALIAN,Female,12TH GRADE,1.1,No,505.0,127.0,4.0,Very Good,0.0,0.0,6.0,26.0,retail,No,0
17.0,GERMAN,Female,12TH GRADE,2.3,Yes,504.0,134.0,1.0,Very Good,0.0,1.0,14.0,32.0,pro,No,1
21.0,IRISH,Female,12TH GRADE,3.8,No,506.0,135.0,1.0,Excellent,0.0,0.0,5.0,65.0,pro,No,1
15.0,POLISH,Female,12TH GRADE,3.2,Yes,504.0,127.0,2.0,Good,0.0,0.0,10.0,29.0,pub,No,1
20.0,POLISH,Male,6TH YR COL,4.5,No,511.0,190.0,3.0,Very Good,0.0,0.0,9.0,84.0,fin,No,1
20.0,POLISH,Female,12TH GRADE,2.7,No,507.0,155.0,3.0,Fair,1.0,1.0,10.0,85.0,fin,No,1
18.0,POLISH,Male,4TH YR COL,5.3,No,510.0,185.0,3.0,Very Good,0.0,0.0,5.0,94.0,pro,No,1
17.0,GERMAN,Male,4TH YR COL,3.5,No,509.0,154.0,5.0,Good,0.0,0.0,3.0,58.0,pro,Yes,1
20.0,AMERICAN,Male,8TH YR COL OR MORE,1.5,No,508.0,150.0,5.0,Good,0.0,0.0,10.0,93.0,fin,No,0
15.0,ENGLISH,Female,11TH GRADE,1.0,No,508.0,130.0,6.0,Excellent,0.0,0.0,16.0,32.0,transp,No,0
19.0,ENGLISH,Male,3RD YR COL,6.2,No,511.0,195.0,5.0,Very Good,0.0,0.0,2.0,97.0,manuf,No,1
21.0,FRENCH,Male,4TH YR COL,0.45,No,510.0,155.0,2.0,Very Good,0.0,0.0,15.0,35.0,retail,No,0
14.0,ENGLISH,Female,4TH YR COL,1.8,No,505.0,156.0,5.0,Very Good,0.0,0.0,5.0,84.0,retail,No,1
17.0,FRENCH,Male,12TH GRADE,0.6,No,600.0,270.0,4.0,Very Good,0.0,0.0,11.0,56.0,construction,No,0
18.0,FRENCH,Female,3RD YR COL,0.1,Yes,501.0,110.0,4.0,Very Good,3.0,0.0,19.0,36.0,retail,No,0
20.0,FRENCH,Male,2ND YR COL,4.1,No,600.0,180.0,4.0,Very Good,0.0,1.0,3.0,71.0,retail,No,1
18.0,GERMAN,Male,4TH YR COL,5.8,No,510.0,160.0,6.0,Very Good,0.0,0.0,8.0,92.0,pub,Yes,1
16.0,ITALIAN,Female,12TH GRADE,4.2,No,504.0,280.0,4.0,Very Good,1.0,0.0,11.0,44.0,transp,No,1
17.0,FRENCH,Female,4TH YR COL,13.8775,No,506.0,120.0,7.0,Excellent,0.0,0.0,10.0,87.0,pro,No,1
16.0,IRISH,Female,4TH YR COL,1.1,No,503.0,120.0,7.0,Excellent,0.0,0.0,12.0,80.0,personal,No,0
20.0,IRISH,Female,5TH YR COL,4.6,No,510.0,160.0,4.0,Excellent,0.0,0.0,5.0,74.0,pro,Yes,1
16.0,ENGLISH,Female,6TH YR COL,0.6,No,504.0,130.0,3.0,Excellent,0.0,0.0,13.0,81.0,pro,No,0
14.0,POLISH,Female,12TH GRADE,0.0,Yes,504.0,150.0,5.0,Good,0.0,0.0,5.0,29.0,retail,No,0
17.0,GERMAN,Female,2ND YR COL,0.0,No,501.0,122.0,3.0,Excellent,0.0,0.0,3.0,25.0,fin,No,0
