att1,att2,att3,att4,att5,att10,att11,att13,att14,att15,att18,att20,att22,att25,att26,att33,att38,att43,att47,att48,att51,att56,att59,att61,att64,att65,att66,att68,att69,att71,att73,att75,att76,att78,att79,att80,att81,att82,att83,att85,att86,att93,att94,att97,att98,att100,att103,att104,att106,att107,att109,att111,att113,att114,att115,att117,att120,att121,att122,att123,att125,att127,att128,att130,att133,att135,att136,att137,att138,att144,att145,att149,att151,att152,att156,att157,att158,att159,att164,att166,att167,att168,att169,att170,att171,att173,att175,att180,att181,att182,att186,att187,att189,att191,att196,att197,att200,att203,att209,att212,class
98.0,236.0,531.0,673.0,607.0,6.0,8.0,225.0,517.0,652.0,994.0,22.0,13.0,305.0,481.0,18.0,567.0,26.0,16.0,13.0,631.0,34.0,17.0,248.0,814.0,1051.0,728.0,28.0,5.0,16.0,246.0,751.0,579.0,1062.0,13.0,30.0,28.0,10.0,16.0,276.0,344.0,23.0,17.0,357.0,435.0,610.0,20.0,7.0,12.0,10.0,355.0,477.0,976.0,723.0,30.0,14.0,8.0,290.0,352.0,435.0,894.0,29.0,29.0,13.0,260.0,562.0,698.0,665.0,757.0,9.0,238.0,733.0,9.0,6.0,16.0,294.0,406.0,654.0,23.0,9.0,20.0,11.0,302.0,418.0,561.0,961.0,21.0,10.0,360.0,328.0,599.0,29.0,14.0,9.0,733.0,601.0,8.0,9.0,628.0,36.0,1
121.0,193.0,607.0,611.0,585.0,4.0,3.0,214.0,514.0,690.0,1006.0,18.0,15.0,260.0,344.0,25.0,412.0,31.0,13.0,15.0,699.0,30.0,14.0,207.0,784.0,1037.0,750.0,30.0,12.0,17.0,199.0,791.0,553.0,1074.0,10.0,26.0,31.0,12.0,17.0,253.0,345.0,30.0,19.0,326.0,452.0,540.0,17.0,7.0,12.0,11.0,320.0,563.0,972.0,741.0,29.0,17.0,6.0,243.0,255.0,467.0,896.0,26.0,25.0,9.0,265.0,648.0,626.0,687.0,777.0,5.0,279.0,737.0,14.0,10.0,14.0,253.0,317.0,680.0,19.0,11.0,17.0,11.0,255.0,321.0,617.0,979.0,20.0,8.0,351.0,249.0,617.0,26.0,11.0,10.0,675.0,577.0,6.0,10.0,570.0,32.0,1
115.0,141.0,590.0,605.0,557.0,3.0,5.0,196.0,404.0,611.0,986.0,21.0,14.0,278.0,406.0,18.0,468.0,32.0,17.0,12.0,650.0,31.0,16.0,249.0,722.0,1033.0,704.0,27.0,5.0,17.0,229.0,700.0,483.0,1056.0,5.0,29.0,28.0,11.0,17.0,247.0,309.0,21.0,18.0,312.0,328.0,550.0,14.0,6.0,11.0,9.0,360.0,568.0,956.0,733.0,24.0,18.0,11.0,235.0,259.0,436.0,876.0,21.0,28.0,10.0,253.0,653.0,638.0,653.0,737.0,10.0,297.0,715.0,9.0,9.0,9.0,271.0,335.0,591.0,22.0,12.0,19.0,6.0,293.0,335.0,536.0,943.0,15.0,13.0,415.0,323.0,595.0,21.0,14.0,10.0,663.0,547.0,7.0,10.0,572.0,35.0,1
90.0,122.0,627.0,692.0,607.0,5.0,3.0,201.0,445.0,664.0,945.0,21.0,16.0,273.0,397.0,21.0,459.0,24.0,15.0,11.0,707.0,29.0,16.0,246.0,817.0,1031.0,721.0,27.0,8.0,15.0,248.0,767.0,586.0,1013.0,11.0,29.0,27.0,13.0,15.0,278.0,312.0,26.0,18.0,361.0,347.0,631.0,18.0,8.0,13.0,13.0,369.0,589.0,962.0,718.0,28.0,13.0,8.0,268.0,364.0,449.0,884.0,27.0,28.0,8.0,232.0,674.0,713.0,663.0,722.0,9.0,244.0,725.0,7.0,9.0,6.0,260.0,412.0,640.0,22.0,12.0,15.0,3.0,276.0,416.0,601.0,959.0,19.0,10.0,380.0,354.0,606.0,27.0,15.0,12.0,756.0,603.0,7.0,12.0,628.0,35.0,1
157.0,167.0,681.0,666.0,587.0,4.0,5.0,212.0,386.0,740.0,997.0,21.0,11.0,248.0,390.0,20.0,468.0,32.0,15.0,11.0,773.0,29.0,14.0,189.0,819.0,995.0,743.0,27.0,7.0,17.0,183.0,851.0,588.0,1063.0,13.0,29.0,30.0,8.0,17.0,257.0,237.0,25.0,15.0,314.0,334.0,599.0,16.0,8.0,8.0,9.0,310.0,633.0,936.0,752.0,32.0,16.0,8.0,257.0,233.0,511.0,860.0,29.0,30.0,11.0,265.0,718.0,687.0,671.0,768.0,9.0,253.0,707.0,15.0,9.0,14.0,251.0,283.0,714.0,22.0,7.0,19.0,9.0,239.0,281.0,685.0,955.0,23.0,6.0,337.0,303.0,628.0,29.0,12.0,10.0,726.0,577.0,7.0,10.0,568.0,35.0,1
128.0,224.0,799.0,690.0,653.0,9.0,2.0,145.0,363.0,774.0,943.0,23.0,12.0,247.0,335.0,31.0,365.0,30.0,12.0,12.0,887.0,23.0,11.0,256.0,889.0,969.0,721.0,25.0,18.0,12.0,216.0,913.0,654.0,1009.0,23.0,23.0,37.0,13.0,12.0,222.0,326.0,36.0,14.0,291.0,325.0,625.0,8.0,20.0,9.0,12.0,383.0,749.0,952.0,678.0,42.0,13.0,11.0,270.0,190.0,609.0,872.0,39.0,24.0,12.0,302.0,834.0,675.0,775.0,718.0,10.0,258.0,749.0,23.0,21.0,5.0,236.0,234.0,696.0,24.0,12.0,12.0,6.0,262.0,220.0,781.0,1015.0,33.0,13.0,430.0,334.0,576.0,39.0,15.0,11.0,762.0,625.0,19.0,11.0,562.0,17.0,1
185.0,259.0,575.0,615.0,609.0,7.0,4.0,278.0,468.0,648.0,1006.0,21.0,12.0,288.0,508.0,26.0,630.0,26.0,14.0,10.0,669.0,33.0,13.0,245.0,764.0,1075.0,746.0,27.0,13.0,18.0,245.0,753.0,525.0,1078.0,13.0,29.0,36.0,9.0,18.0,321.0,321.0,29.0,16.0,396.0,408.0,548.0,20.0,8.0,9.0,8.0,384.0,525.0,998.0,779.0,30.0,22.0,9.0,317.0,345.0,423.0,918.0,29.0,30.0,14.0,225.0,610.0,652.0,689.0,755.0,10.0,229.0,757.0,9.0,7.0,17.0,311.0,373.0,640.0,22.0,8.0,18.0,12.0,299.0,371.0,585.0,983.0,21.0,7.0,343.0,339.0,647.0,29.0,6.0,11.0,677.0,605.0,7.0,11.0,632.0,35.0,1
133.0,173.0,591.0,665.0,594.0,5.0,9.0,260.0,360.0,700.0,986.0,20.0,12.0,322.0,454.0,22.0,504.0,25.0,17.0,11.0,689.0,30.0,16.0,235.0,826.0,1030.0,734.0,28.0,9.0,15.0,247.0,803.0,587.0,1052.0,10.0,28.0,28.0,9.0,15.0,291.0,239.0,27.0,16.0,310.0,296.0,602.0,19.0,9.0,9.0,9.0,314.0,541.0,979.0,721.0,27.0,14.0,10.0,275.0,263.0,473.0,895.0,26.0,29.0,12.0,259.0,626.0,692.0,688.0,757.0,11.0,297.0,732.0,8.0,10.0,16.0,309.0,263.0,690.0,21.0,10.0,21.0,11.0,303.0,267.0,617.0,986.0,18.0,8.0,317.0,363.0,603.0,26.0,14.0,8.0,729.0,590.0,8.0,8.0,567.0,34.0,1
206.0,332.0,561.0,588.0,635.0,7.0,7.0,269.0,519.0,664.0,1056.0,22.0,12.0,325.0,523.0,29.0,655.0,27.0,17.0,11.0,661.0,34.0,16.0,280.0,747.0,1073.0,772.0,28.0,16.0,15.0,258.0,773.0,508.0,1126.0,14.0,30.0,39.0,9.0,17.0,316.0,374.0,32.0,16.0,383.0,473.0,513.0,21.0,9.0,9.0,11.0,419.0,505.0,1008.0,779.0,31.0,25.0,10.0,330.0,372.0,437.0,928.0,30.0,31.0,14.0,284.0,590.0,619.0,703.0,807.0,11.0,228.0,767.0,10.0,6.0,20.0,322.0,394.0,662.0,23.0,8.0,19.0,15.0,356.0,396.0,595.0,1003.0,22.0,8.0,374.0,306.0,645.0,30.0,3.0,8.0,650.0,627.0,8.0,8.0,624.0,36.0,1
183.0,177.0,583.0,606.0,627.0,4.0,3.0,258.0,458.0,602.0,999.0,19.0,15.0,290.0,424.0,20.0,520.0,25.0,13.0,10.0,663.0,33.0,12.0,225.0,719.0,1053.0,729.0,29.0,7.0,13.0,237.0,715.0,488.0,1059.0,10.0,27.0,30.0,12.0,13.0,297.0,305.0,23.0,19.0,342.0,364.0,545.0,19.0,4.0,12.0,9.0,384.0,545.0,984.0,786.0,27.0,16.0,9.0,299.0,303.0,391.0,896.0,26.0,26.0,11.0,261.0,630.0,639.0,667.0,740.0,10.0,265.0,735.0,8.0,9.0,15.0,293.0,363.0,574.0,20.0,11.0,13.0,10.0,307.0,371.0,559.0,963.0,18.0,7.0,373.0,273.0,642.0,26.0,12.0,8.0,670.0,621.0,5.0,8.0,648.0,33.0,1
